lam,wall_time(s)
0.6499999999999999,511.716000
0.6499999999999999,511.900000
0.6499999999999999,512.251000
0.6499999999999999,512.480000
0.6499999999999999,512.853000
0.6499999999999999,512.875000
0.6499999999999999,513.714000
0.6499999999999999,513.775000
0.6499999999999999,514.244000
0.6499999999999999,514.800000
0.6499999999999999,514.922000
0.6499999999999999,515.112000
0.6499999999999999,515.242000
0.6499999999999999,515.910000
0.6499999999999999,516.109000
0.6499999999999999,516.190000
0.6499999999999999,516.197000
0.6499999999999999,517.210000
0.6499999999999999,518.234000
0.6499999999999999,518.713000
0.6499999999999999,520.019000
0.6499999999999999,520.272000
0.6499999999999999,520.453000
0.6499999999999999,520.642000
0.6499999999999999,521.350000
0.6499999999999999,521.353000
0.6499999999999999,521.665000
0.6499999999999999,522.378000
0.6499999999999999,522.396000
0.6499999999999999,522.960000
0.6499999999999999,528.202000
0.6499999999999999,554.163000
0.7,479.945000
0.7,481.804000
0.7,510.798000
0.7,522.388000
0.7,525.317000
0.7,527.783000
0.7,528.324000
0.7,528.690000
0.7,531.210000
0.7,532.056000
0.7,533.556000
0.7,534.205000
0.7,534.601000
0.7,535.083000
0.7,536.238000
0.7,536.892000
0.7,537.601000
0.7,538.586000
0.7,540.181000
0.7,542.318000
0.7,542.980000
0.7,543.117000
0.7,545.651000
0.7,549.920000
0.7,573.627000
0.7,577.054000
0.7,584.766000
0.7,587.173000
0.7,587.286000
0.7,588.199000
0.7,590.314000
0.7,591.057000
0.7,592.525000
0.7,592.568000
0.7,592.739000
0.7,592.990000
0.7,593.645000
0.7,593.668000
0.7,594.058000
0.7,595.012000
0.7,596.025000
0.7,596.119000
0.7,596.932000
0.7,597.620000
0.7,597.820000
0.7,598.032000
0.7,598.564000
0.7,598.614000
0.7,598.877000
0.7,599.926000
0.7,599.961000
0.7,600.287000
0.7,600.375000
0.7,600.441000
0.7,600.777000
0.7,601.694000
0.7,601.747000
0.7,602.204000
0.7,603.148000
0.7,603.269000
0.7,603.487000
0.7,603.667000
0.7,603.812000
0.7,604.272000
0.7,604.880000
0.7,604.907000
0.7,605.153000
0.7,605.202000
0.7,605.413000
0.7,605.416000
0.7,605.989000
0.7,607.985000
0.7,608.568000
0.7,608.671000
0.7,608.813000
0.7,610.472000
0.7,610.544000
0.7,610.857000
0.7,611.140000
0.7,611.154000
0.7,616.311000
0.7,724.707000
0.7,726.312000
0.7,728.154000
0.7,728.824000
0.7,729.167000
0.7,729.528000
0.7,730.017000
0.7,730.585000
0.7,730.845000
0.7,731.095000
0.7,732.925000
0.7,733.633000
0.7,736.030000
0.7,738.495000
0.7,738.665000
0.7,738.802000
0.7,740.377000
0.7,740.848000
0.7,741.400000
0.7499999999999999,562.495000
0.7499999999999999,569.422000
0.7499999999999999,571.559000
0.7499999999999999,571.623000
0.7499999999999999,572.314000
0.7499999999999999,572.544000
0.7499999999999999,573.183000
0.7499999999999999,573.446000
0.7499999999999999,573.931000
0.7499999999999999,574.201000
0.7499999999999999,574.296000
0.7499999999999999,574.412000
0.7499999999999999,574.423000
0.7499999999999999,574.876000
0.7499999999999999,575.334000
0.7499999999999999,576.267000
0.7499999999999999,576.549000
0.7499999999999999,576.771000
0.7499999999999999,576.859000
0.7499999999999999,577.294000
0.7499999999999999,578.123000
0.7499999999999999,579.045000
0.7499999999999999,580.056000
0.7499999999999999,580.764000
0.7499999999999999,582.081000
0.7499999999999999,582.181000
0.7499999999999999,582.356000
0.7499999999999999,586.697000
0.7499999999999999,695.201000
0.7499999999999999,698.296000
0.7499999999999999,701.976000
0.7499999999999999,707.116000
0.7499999999999999,708.506000
0.7499999999999999,710.620000
0.7499999999999999,712.825000
0.7499999999999999,729.045000
0.7499999999999999,729.252000
0.7499999999999999,731.696000
0.7499999999999999,732.812000
0.7499999999999999,732.846000
0.7499999999999999,733.265000
0.7499999999999999,733.903000
0.7499999999999999,739.569000
0.7499999999999999,750.710000
0.7499999999999999,756.114000
0.7499999999999999,759.888000
0.7499999999999999,761.029000
0.7499999999999999,789.574000
0.7499999999999999,789.793000
0.7499999999999999,793.616000
0.7499999999999999,794.469000
0.7499999999999999,794.755000
0.7499999999999999,794.762000
