L,type,beta,wall_time_s
12,ES,1.2121212121212122,3238.4904
12,ES,1.2121212121212122,3319.5124
12,ES,1.2121212121212122,3214.4459
12,ES,1.2121212121212122,3306.5723
12,ES,1.2121212121212122,3250.1788
12,ES,1.25,3409.6272
12,ES,1.25,3364.1107
12,ES,1.25,3416.7081
12,ES,1.25,3407.0352
12,ES,1.25,3413.6359
12,ES,1.25,3431.7265
12,ES,1.25,3410.8115
12,ES,1.25,3380.3669
12,ES,1.25,3396.0611
12,ES,1.25,3404.499
12,ES,1.25,3410.2218
12,ES,1.25,3383.6896
12,ES,1.25,3461.6584
12,ES,1.25,3371.3873
12,ES,1.25,3455.8179
12,ES,1.25,3385.4496
12,ES,1.25,3504.2703
12,ES,1.25,3373.0601
12,ES,1.25,3425.0879
12,ES,1.25,3356.8532
12,ES,1.2903225806451613,3658.7946
12,ES,1.2903225806451613,3591.5628
12,ES,1.2903225806451613,3658.1439
12,ES,1.2903225806451613,3648.729
12,ES,1.2903225806451613,3647.5321
12,ES,1.2903225806451613,3654.3696
12,ES,1.2903225806451613,3622.2172
12,ES,1.2903225806451613,3669.1948
12,ES,1.2903225806451613,3598.4884
12,ES,1.2903225806451613,3588.9716
12,ES,1.2903225806451613,3664.4762
12,ES,1.2903225806451613,3696.7464
12,ES,1.2903225806451613,3654.51
12,ES,1.2903225806451613,3601.3296
12,ES,1.2903225806451613,3645.6327
12,ES,1.2903225806451613,3620.4313
12,ES,1.2903225806451613,3689.4012
12,ES,1.2903225806451613,3569.6635
12,ES,1.2903225806451613,3594.0828
12,ES,1.2903225806451613,3666.8831
12,ES,1.3333333333333333,3873.5605
12,ES,1.3333333333333333,3778.4664
12,ES,1.3333333333333333,3971.6659
12,ES,1.3333333333333333,3762.5195
12,ES,1.3333333333333333,3935.7537
12,ES,1.3333333333333333,3759.8869
12,ES,1.3333333333333333,3945.5123
12,ES,1.3333333333333333,3837.5003
12,ES,1.3333333333333333,3870.9801
12,ES,1.3333333333333333,3798.9583
12,ES,1.3333333333333333,3856.4074
12,ES,1.3333333333333333,3793.3315
12,ES,1.3333333333333333,3835.6903
12,ES,1.3333333333333333,3803.1716
12,ES,1.3333333333333333,3865.8094
12,ES,1.3333333333333333,3814.6567
12,ES,1.3333333333333333,3895.6077
12,ES,1.3333333333333333,3798.3007
12,ES,1.3333333333333333,3902.6714
12,ES,1.3333333333333333,3761.0251
12,ES,1.3793103448275863,3997.5138
12,ES,1.3793103448275863,3969.4688
12,ES,1.3793103448275863,3995.5639
12,ES,1.3793103448275863,4040.6589
12,ES,1.3793103448275863,4085.3341
12,ES,1.3793103448275863,4160.6412
12,ES,1.3793103448275863,4091.6245
12,ES,1.3793103448275863,4151.1876
12,ES,1.3793103448275863,4184.2671
12,ES,1.3793103448275863,4157.9257
12,ES,1.3793103448275863,4113.2922
12,ES,1.3793103448275863,4192.2384
12,ES,1.3793103448275863,4158.8873
12,ES,1.3793103448275863,4138.1089
12,ES,1.3793103448275863,4135.6393
12,ES,1.3793103448275863,4126.3326
12,ES,1.3793103448275863,4023.6483
12,ES,1.3793103448275863,4181.817
12,ES,1.3793103448275863,4167.8746
12,ES,1.3793103448275863,4225.6876
12,ES,1.4285714285714286,4463.5442
12,ES,1.4285714285714286,4244.7158
12,ES,1.4285714285714286,4358.5352
12,ES,1.4285714285714286,4334.5332
12,ES,1.4285714285714286,4416.4028
12,ES,1.4285714285714286,4266.5206
12,ES,1.4285714285714286,4373.6276
12,ES,1.4285714285714286,4317.1821
12,ES,1.4285714285714286,4380.1212
12,ES,1.4285714285714286,4323.0376
12,ES,1.4285714285714286,4386.4107
12,ES,1.4285714285714286,4253.1559
12,ES,1.4285714285714286,4316.9355
12,ES,1.4285714285714286,4240.9201
12,ES,1.4285714285714286,4356.6403
12,ES,1.4285714285714286,4328.645
12,ES,1.4285714285714286,4443.2297
12,ES,1.4285714285714286,4328.6233
12,ES,1.4285714285714286,4397.3949
12,ES,1.4285714285714286,4347.0864
12,ES,1.4814814814814814,4531.6587
12,ES,1.4814814814814814,4536.1636
12,ES,1.4814814814814814,4714.0933
12,ES,1.4814814814814814,4625.9094
12,ES,1.4814814814814814,4588.1279
12,ES,1.4814814814814814,4577.9081
12,ES,1.4814814814814814,4603.8595
12,ES,1.4814814814814814,4650.5862
12,ES,1.4814814814814814,4610.9467
12,ES,1.4814814814814814,4590.0591
12,ES,1.4814814814814814,4676.1529
12,ES,1.4814814814814814,4619.9717
12,ES,1.4814814814814814,4642.7132
12,ES,1.4814814814814814,4635.2012
12,ES,1.4814814814814814,4643.711
12,ES,1.4814814814814814,4696.2249
12,ES,1.4814814814814814,4585.0297
12,ES,1.4814814814814814,4625.1852
12,ES,1.4814814814814814,4702.6838
12,ES,1.4814814814814814,4639.4136
12,ES,1.5384615384615383,4953.049
12,ES,1.5384615384615383,4915.6876
12,ES,1.5384615384615383,5035.87
12,ES,1.5384615384615383,4881.6563
12,ES,1.5384615384615383,4942.763
